"TEXT","CATEGORY","PRODUCT_ID","PRODUCT_NAME"
"IPHONE 6 IS NEWLY RELEASED IN THE MARKET","MOBILES","1","IPHONE"
"HTC ONE MAY REFER TO: HTC ONE SERIES, AN HTC FLAGSHIP SMARTPHONE PRODUCT LINE; HTC ONE (2013), A SMARTPHONE RELEASED BY HTC","MOBILES","2","HTC ONE"
"DER ERSTE MAC WAR DER NACHFOLGER DES TECHNISCH ÄHNLICHEN, ABER WIRTSCHAFTLICH","COMPUTERS","3","MAC"
"RFOLGREICH WURDE DIE FIRMA DURCH GERÄTE DER UNTERHALTUNGSELEKTRONIK","MOBILES","4","MOTOROLA"
"国の機関である中国科学院の計算機研究所の11名の研究員が20万人民元をもって設立した。当時","LAPTOPS","5","LENOVO"
"윌리엄 휴렛과 데이비드 팩커드 모두 1934년에 스탠퍼드 대학교를 졸업했다. 1939년 미국 대공황기","TABS","6","HP"
"الصفحة «النافثة للحبر» غير موجودة. يمكنك إنشاؤها إن لم تجد موضوعها في","PRINTER","7","INKJET"
"КОМПАНИЯ JBL БЫЛА ОСНОВАНА В 1946 ДЖЕЙМСОМ БУЛЛОУ ЛЭНСИНГОМ. ПРОДУКЦИЯ JBL","SPEAKER","8","JBL SYSTEM"
"要になるなどの利点がある。現在は列車のワンマン運転時において、ホームの監視カメラ","MONITOR","9","OUTPUT DEVICE"
"అనేది వీడియో కోడింగ్ కు ఒక ప్రమాణము మరియు ఇప్పు","PROCESSOR-II","11","I3 PROCESSOR"
"האוזניות מאפשרות לנגן המוקלט לשמוע את הנגנים שהוקלטו לפניו מבלי לאפשר","HEAD PHONE","12","JBP HEAD SET"
"לקחת 3 ACAMOL 4 פעמים ביום","NAMER","13","MOH"
"חנה היא טובה בשוק","SOFT. PRODUCT","14","HANA"
"ويكيبيديا، الموسوعة الحرة","XYZ","16","WIKIPEDIA"
"紅米手機是中國公司的產物","ELECTRONIC","17","MI3"
"长文本测试长文本测试长文本测试长文本测试长文本测试长文本测试","中文类别","18","中文测试"
"TLT ТЕСТИРОВАНИЕ 2","КАТЕГОРИЯ ПР 2","19","ИМЯ ПРОДУКТА 2"
"TLT ТЕСТИРОВАНИЕ","КАТЕГОРИЯ ПРОД","20","ИМЯ ПРОДУКТА"
"长文本测试长文本测试长文本测试长文本测试长文本测试长文本测试","中文类别","21","中文测试"
"菲奥里波8日公布的客户","APPLICATIO","22","FIORI"
"H.264/MPEG-4 पार्ट 10 या AVC (उन्नत वीडियो कोडन) वीडियो संपीड","PROCESSOR","10","I3 PROCESSOR"
"الأيفون هو محمول","تليفونات","15","الأيفون"